,AdaBoost,GradientBoosting,LightGBM,XGBoost,RandomForest,CatBoost,Mean_Importance
person_income,0.13,0.05,577,0.04,0.05,8.87,97.69
loan_to_income_error,0.19,0.02,270,0.01,0.04,5.34,45.93
person_home_ownership,0.05,0.17,251,0.16,0.06,16.79,44.71
loan_intent,0.08,0.04,252,0.06,0.03,11.97,44.03
loan_int_rate,0.03,0.00,170,0.02,0.05,1.19,28.55
loan_grade,0.04,0.29,144,0.32,0.08,15.80,26.75
loan_to_income,0.05,0.14,123,0.04,0.10,14.36,22.95
monthly_income,0.14,0.03,131,0.00,0.05,5.61,22.81
loan_percent_income,0.01,0.21,120,0.19,0.11,3.77,20.72
loan_home_ownership_ratio,0.07,0.00,92,0.01,0.04,0.79,15.48
loan_to_employment,0.02,0.00,86,0.01,0.02,0.55,14.43
person_age,0,0.00,82,0.01,0.01,1.75,13.96
loan_grade_ratio,0.03,0.00,77,0.01,0.02,1.19,13.04
credit_rate_ratio,0.01,0.00,75,0.01,0.02,0.56,12.60
intent_loan_ratio,0.02,0.00,73,0.01,0.03,1.24,12.38
person_emp_length,0.03,0.03,68,0.05,0.02,1.53,11.61
stability_score,0,0.00,65,0.01,0.02,0.77,10.97
age_to_employment,0.01,0.00,63,0.01,0.02,1.89,10.82
personal_creditscore,0,0.00,53,0.01,0.02,0.31,8.89
credit_utilization,0,0.00,52,0.01,0.02,0.50,8.75
employment_to_history,0,0.00,48,0.01,0.02,0.51,8.09
age_to_history,0,0.00,46,0.01,0.02,0.25,7.71
loan_amnt,0.07,0.00,42,0.01,0.02,1.02,7.19
cred_hist_to_age_ratio,0,0.00,24,0.01,0.02,0.26,4.05
cb_person_cred_hist_length,0,0.00,16,0.01,0.01,0.16,2.70
interest_rate_spread,0.02,0.01,0,0.00,0.05,2.79,0.48
high_interest_loan,0,0.00,0,0.00,0.02,0.22,0.04
income_level_numeric,0,0.00,0,0.00,0.01,0.00,0.00
employment_stability_numeric,0,0.00,0,0.00,0.01,0.00,0.00
loan_history_category_numeric,0,0.00,0,0.00,0.00,0.00,0.00
is_new_credit_user,0,0.00,0,0.00,0.00,0.00,0.00
cb_person_default_on_file,0,0.00,0,0.00,0.00,0.00,0.00
intent_home_match,0,0.00,0,0.00,0.00,0.00,0.00
income_home_mismatch_rich,0,0.00,0,0.00,0.00,0.00,0.00
income_home_mismatch_poor,0,0.00,0,0.00,0.00,0.00,0.00
